,sentences,WS
1103,傳過幾次蘇光頭要可憐啊,"['傳', '過', '幾', '次', '蘇光頭', '要', '可憐', '啊']"
1104,哈哈有什麼問題，人家培育的都柯是想把明通釣出來玩吧,"['哈哈', '有', '什麼', '問題', '，', '人家', '培育', '的', '都柯', '是', '想', '把', '明通', '釣出來', '玩', '吧']"
1105,比豬還肥看到他的臉就想吐笑了,"['比', '豬', '還', '肥', '看到', '他', '的', '臉', '就', '想', '吐笑', '了']"
1106,昨天法務部有人打給台灣之子也怕被出征，了不飯可以亂吃,"['昨天', '法務部', '有', '人', '打給', '台灣', '之', '子', '也', '怕', '被', '出征', '，', '了不', '飯', '可以', '亂', '吃']"
1107,天下無敵輸大大會有今天光頭王也是功臣,"['天下無敵', '輸', '大大', '會', '有', '今天', '光頭王', '也', '是', '功臣']"
1108,還在KMT,"['還', '在', 'KMT']"
1109,覺得韓劇哪有都爛尾,"['覺得', '韓劇', '哪', '有', '都', '爛尾']"
1110,=,['=']
1111,33加油你是不是以為多講幾句話放年輕人出來投票,"['33', '加油', '你', '是', '不是', '以為', '多', '講', '幾', '句', '話', '放', '年輕人', '出來', '投票']"
1112,也不問扁從政以來,"['也', '不', '問', '扁', '從政', '以來']"
1113,嘻嘻可以了,"['嘻嘻', '可以', '了']"
1114,趕快民進黨的支持者要不要跟社操你的一堆垃圾民進黨真的胎誇張難得看館長，館長停頓點抓外役監根本渡假村直接說是誰了嗎,"['趕快', '民進黨', '的', '支持', '者', '要不要', '跟', '社操', '你的', '一', '堆', '垃圾', '民進黨', '真的', '胎', '誇張', '難得', '看', '館長', '，', '館長', '停頓點', '抓', '外役監', '根本', '渡假村', '直接', '說', '是', '誰', '了', '嗎']"
1115,不給投票本來就違憲地下大法官喬柯：他仗著大法官都是塔綠班挑你連法律學位都沒有耶確信就必然會合憲嗎？這邏憲法位階國中就教了還不懂DPPers真的很愛自介下次說為了不能被賣台沒收部長說的還真的沒錯XDD薛真的是搶當大法官舔黨部長又不是讀法律的，政務官不夠嗆不能進陰係嘴巴臭的要死跟酒空一個樣行政機關具合憲確信有台灣笑死，你質疑一個美國知名我以為黨大於憲法只有共產國民黨人現在在八卦版人氣合你媽的憲帶風向喔,"['不', '給', '投票', '本來', '就', '違憲', '地下', '大法官', '喬柯', '：', '他', '仗著', '大法官', '都', '是', '塔綠班', '挑', '你', '連', '法律', '學位', '都', '沒有', '耶', '確信', '就', '必然', '會', '合憲', '嗎', '？', '這', '邏', '憲法', '位階', '國中', '就教', '了', '還', '不', '懂', 'DPPers', '真的', '很', '愛', '自介', '下', '次', '說', '為了', '不能', '被', '賣', '台', '沒收', '部長', '說', '的', '還', '真的', '沒錯', 'XDD', '薛', '真的', '是', '搶', '當', '大法官', '舔', '黨部長', '又', '不是', '讀', '法律', '的', '，', '政務官', '不', '夠', '嗆', '不能', '進', '陰', '係', '嘴巴臭', '的', '要', '死', '跟', '酒空', '一', '個樣', '行政', '機關', '具', '合憲', '確信', '有', '台灣', '笑死', '，', '你', '質疑', '一', '個', '美國', '知名', '我', '以為', '黨', '大於', '憲法', '只有', '共產', '國民黨人', '現在', '在', '八卦版', '人氣', '合你媽的', '憲帶', '風向', '喔']"
1116,勉強回去也沒某s，有專業技能的人要失搞清楚他沒在拿刀,"['勉強', '回去', '也', '沒', '某', 's', '，', '有', '專業', '技能', '的', '人', '要', '失搞', '清楚', '他', '沒', '在', '拿', '刀']"
1117,你出來連初選都忘記自己是黑道小弟了喔！立委補選,"['你', '出來', '連', '初選', '都', '忘記', '自己', '是', '黑道', '小弟', '了', '喔', '！', '立委', '補選']"
1118,做夢吧,"['做夢', '吧']"
1119,土城來囉,"['土城', '來', '囉']"
1120,外省房價太高，人口沒流動！死帥,"['外省', '房價', '太', '高', '，', '人口', '沒', '流動', '！', '死帥']"
1121,我最多三刷而看卡通也會多刷啊人家想支持阿湯哥不行?,"['我', '最多', '三刷', '而', '看', '卡通', '也', '會', '多', '刷', '啊', '人家', '想', '支持', '阿湯哥', '不行', '?']"
1122,=說ok的去看綠能你不能！不是講過很多原來是吃遍自助餐的議員抹黑攻擊加油點...,"['=', '說', 'ok', '的', '去', '看', '綠', '能', '你', '不能', '！', '不是', '講', '過', '很多', '原來', '是', '吃遍', '自助餐', '的', '議員', '抹黑', '攻擊', '加油點', '...']"
1123,行為像黨工,"['行為', '像', '黨工']"
1124,上面寫啥？,"['上面', '寫', '啥', '？']"
1125,會這樣嗆的大多檢察官同一個嗎一碼歸一碼如果高真的有做一般人就被屈打成招,"['會', '這樣', '嗆', '的', '大多', '檢察官', '同', '一', '個', '嗎', '一', '碼', '歸', '一', '碼', '如果', '高', '真的', '有', '做', '一般人', '就', '被', '屈打成', '招']"
1126,"為什麼不承認一鍋子打翻出身中下想要洗白，跟著黨就對了現在還是民進黨中常委說是黑道就去死吧！雜碎人渣，黑道大聲成這樣喔，不愧是對啦沒掛公職但站EE身邊黑道就黑道民進黨政府官員最近嘴巴有地下總統被你說成市長,難黑道大哥是上層吧","['為什麼', '不', '承認', '一', '鍋子', '打翻出', '身', '中下', '想要', '洗白', '，', '跟', '著', '黨', '就', '對了', '現在', '還是', '民進黨', '中常委', '說', '是', '黑道', '就', '去死', '吧', '！', '雜碎', '人渣', '，', '黑道', '大聲', '成', '這樣', '喔', '，', '不愧', '是', '對', '啦', '沒', '掛', '公職', '但', '站', 'EE', '身邊', '黑道', '就', '黑道', '民進黨', '政府', '官員', '最近', '嘴巴', '有', '地下', '總統', '被', '你', '說成', '市長', ',', '難', '黑道', '大哥', '是', '上', '層', '吧']"
1127,你大可不換湯不換藥,"['你', '大可不', '換', '湯', '不', '換', '藥']"
1128,政推民進黨...哈哈你有什麼證據說他跟蔡有關太呱張了wwww台南跟高雄往地下挖在深下消滅英系黑金集團歡迎查詢,"['政推', '民進黨', '.', '.', '.', '哈哈', '你', '有', '什麼', '證據', '說', '他', '跟', '蔡', '有關', '太', '呱張', '了', 'wwww', '台南', '跟', '高雄', '往', '地', '下', '挖', '在', '深下', '消滅', '英系', '黑金', '集團', '歡迎', '查詢']"
1129,順便連總統辭一辭拜託總統也辭一辭吧蘇光頭留著好啊,"['順便', '連', '總統', '辭', '一', '辭', '拜託', '總統', '也', '辭', '一', '辭', '吧', '蘇光頭', '留', '著', '好', '啊']"
1130,黨真的很在意4%,"['黨', '真的', '很', '在意', '4%']"
1131,台灣也又要賣台囉馬囧打下的貿易老母豬Zzzzzzzzz糖衣毒藥沒加霸氣,"['台灣', '也', '又', '要', '賣', '台', '囉馬囧', '打下', '的', '貿易', '老母豬', 'Zzzzzzzzz', '糖衣', '毒藥', '沒', '加', '霸氣']"
1132,不死忠票還真不少民進黨花了六年，超車國民不敢去台南桃園講都是講假選到這咖真的是台灣之恥，不爽不要投掃除黑金派系，EE下台？党超級噁心推推這篇邏輯讓他爆之前她也說要賺錢別來民進可是他滿意度挺高的呦,"['不', '死', '忠票', '還', '真', '不少', '民進黨', '花', '了', '六', '年', '，', '超車', '國民', '不', '敢', '去', '台南', '桃園', '講', '都', '是', '講', '假選', '到', '這', '咖', '真的', '是', '台灣', '之', '恥', '，', '不', '爽', '不要', '投', '掃除', '黑金', '派系', '，', 'EE', '下台', '？', '党', '超級', '噁心', '推推', '這', '篇', '邏輯', '讓', '他', '爆', '之前', '她', '也', '說', '要', '賺錢', '別', '來', '民進', '可是', '他', '滿意度', '挺', '高', '的', '呦']"
1133,綠汁無話可說一直停的是中國==,"['綠汁', '無話可說', '一直', '停', '的', '是', '中國', '==']"
1134,下架小凱肥貓側翼每個場次都這麼多人，臺北背後的叔叔伯伯都出來了～,"['下架', '小凱', '肥貓', '側翼', '每', '個', '場次', '都', '這麼多', '人', '，', '臺北', '背後', '的', '叔叔', '伯伯', '都', '出來', '了', '～']"
1135,不是黑道台南找顆西瓜都會上啊，一乾照片真的89臉畢竟都是死忠的，你能期待每個都檳榔嘴欸選前消息不知道該不該相信反正台南還不是照投黃偉哲台南真的太扯了台南人爽就好，別管那麼多真精彩，應該轉台南版推，快好好掃黑吧，一堆社愛台灣豪嗎民進黨餓多久了貪汙、黑道、販毒、售毒、黑道教母,"['不是', '黑道', '台南', '找', '顆', '西瓜', '都', '會', '上', '啊', '，', '一', '乾', '照片', '真的', '89', '臉', '畢竟', '都', '是', '死忠', '的', '，', '你', '能', '期待', '每', '個', '都', '檳榔嘴', '欸', '選', '前', '消息', '不知道', '該不該', '相信', '反正', '台南', '還不是', '照', '投', '黃偉哲', '台南', '真的', '太', '扯', '了', '台南人', '爽', '就', '好', '，', '別', '管', '那麼多', '真', '精彩', '，', '應該', '轉', '台南版', '推', '，', '快', '好好', '掃黑', '吧', '，', '一', '堆', '社', '愛', '台灣', '豪', '嗎', '民進黨', '餓', '多久', '了', '貪汙', '、', '黑道', '、', '販毒', '、', '售', '毒', '、', '黑道', '教母']"
1136,人真男人ㄧ諾千金..4年只議員監督市長,"['人', '真', '男人', 'ㄧ', '諾', '千金', '.', '.', '4', '年', '只', '議員', '監督', '市長']"
1137,不指台灣被開槍是常態？你真雞排文一律黑名單民進党廁液這樣這對了超可悲的這群人黑道是垃圾，躲在黑道後面供三小？沒犯法嗎我有看錯嗎？台灣已經到可她在黑民進黨裡面都是黑道綠色恐嚇,"['不', '指', '台灣', '被', '開槍', '是', '常態', '？', '你', '真', '雞排文', '一律', '黑名單', '民進', '党廁液', '這樣', '這', '對了', '超可悲', '的', '這', '群', '人', '黑道', '是', '垃圾', '，', '躲', '在', '黑道', '後面', '供', '三小', '？', '沒', '犯法', '嗎', '我', '有', '看錯', '嗎', '？', '台灣', '已經', '到', '可', '她', '在', '黑', '民進黨', '裡面', '都', '是', '黑道', '綠色', '恐嚇']"
1138,民眾黨不該藏污納我比較好奇，你會推薦那些理想很美好，現實很殘酷聖人不會取得政權那你要不要去參政看看？講了8年還在講蔡衍明，有100個裡面看有沒有1個重點是蔣月惠沒有要入黨啊現在連蔣月惠都在吹捧,"['民眾黨', '不', '該', '藏', '污納', '我', '比較', '好奇', '，', '你', '會', '推薦', '那些', '理想', '很', '美好', '，', '現實', '很', '殘酷', '聖人', '不會', '取得', '政權', '那', '你', '要不要', '去', '參政', '看看', '？', '講', '了', '8', '年', '還', '在', '講', '蔡衍明', '，', '有', '100', '個', '裡面', '看', '有', '沒有', '1', '個', '重點', '是', '蔣月惠', '沒有', '要', '入', '黨', '啊', '現在', '連', '蔣月惠', '都', '在', '吹捧']"
1139,無價有人妻吃，我一餐100就吃八萬又有人妻能摟比較划蔣匪後人可以下台了，請支那些人只負責把水搞混，正這可以告的吧那間牛排一個人4400真四叉，看看就好至少人家沒牽摟人妻就好真這桌要牽誰物價都漲了！某黨搞出來的我想吃和牛o.O47樓耶10人吃51000，好親誰說8人不能點10人份的綠色側翼常常一開口就顯得牛排好吃啊裝傻啊，見獵心喜服務費跟開瓶費為什麼要扣剩下二人肯定有鬼,"['無價', '有', '人', '妻', '吃', '，', '我', '一', '餐', '100', '就', '吃', '八萬', '又', '有', '人妻', '能', '摟', '比較', '划蔣匪', '後人', '可以', '下台', '了', '，', '請', '支', '那些', '人', '只', '負責', '把', '水', '搞混', '，', '正', '這', '可以', '告', '的', '吧那', '間', '牛排', '一', '個', '人', '4400', '真', '四叉', '，', '看看', '就', '好', '至少', '人家', '沒', '牽摟', '人妻', '就', '好', '真', '這', '桌', '要', '牽', '誰', '物價', '都', '漲', '了', '！', '某', '黨', '搞出來', '的', '我', '想', '吃', '和', '牛', 'o', '.', 'O', '47樓', '耶', '10', '人', '吃', '51000', '，', '好', '親', '誰', '說', '8', '人', '不能', '點', '10', '人', '份', '的', '綠色', '側翼', '常常', '一', '開口', '就', '顯得', '牛排', '好吃', '啊', '裝傻', '啊', '，', '見', '獵心', '喜', '服務費', '跟', '開瓶費', '為什麼', '要', '扣', '剩下', '二', '人', '肯定', '有', '鬼']"
1140,馬超重要跪舔措施確實阿,"['馬超', '重要', '跪舔', '措施', '確實', '阿']"
1141,超可悲上任前的評價就已經適用了獨裁，空轉才不會讓種田變哇原文下面同溫層超厚,"['超', '可悲', '上任', '前', '的', '評價', '就', '已經', '適用', '了', '獨裁', '，', '空轉', '才', '不會', '讓', '種田', '變哇', '原文', '下面', '同', '溫層', '超厚']"
1142,現在有蔡EE反觀小菸塔綠班馬跟蔡比真笑死，能力差那畢竟他也已經72歲了，能總統假奶,"['現在', '有', '蔡EE', '反觀', '小', '菸', '塔綠班馬', '跟', '蔡比真', '笑死', '，', '能力', '差', '那', '畢竟', '他', '也', '已經', '72', '歲', '了', '，', '能', '總統', '假', '奶']"
1143,這樣打臉好嗎,"['這樣', '打臉', '好', '嗎']"
1144,管他去中國留島不留人的思想要不賣別人就好了啊,"['管', '他', '去', '中國', '留島', '不', '留', '人', '的', '思想', '要', '不', '賣', '別人', '就', '好', '了', '啊']"
1145,檢調不公開,"['檢調', '不', '公開']"
1146,現在新聞都呵呵,"['現在', '新聞', '都', '呵呵']"
1147,快點改,"['快點', '改']"
1148,老闆問大家這人家是「風清氣正」地在「就是想轉移柯網軍被抓到的某族群同溫層很牢固的誰先打開潘朵拉的盒子，廢我只知道你想看綠能其他不好喔，年底那這篇出來看誰還鄭南榕阿,"['老闆', '問', '大家', '這', '人家', '是', '「', '風清氣正', '」', '地', '在', '「', '就是', '想', '轉移', '柯網軍', '被', '抓到', '的', '某', '族群', '同', '溫層', '很', '牢固', '的', '誰', '先', '打開', '潘朵拉', '的', '盒子', '，', '廢', '我', '只', '知道', '你', '想', '看', '綠', '能', '其他', '不', '好', '喔', '，', '年底', '那', '這', '篇', '出來', '看', '誰', '還', '鄭南榕', '阿']"
1149,超嗆哈~堅哥笑死~這句很嗆~責任政治很難嗎？土匪性格蘇先選主席,"['超嗆哈', '~', '堅哥', '笑死', '~', '這', '句', '很', '嗆', '~', '責任', '政治', '很', '難', '嗎', '？', '土匪', '性格', '蘇先選', '主席']"
1150,下次送綠共下我要看喬王氣瘋的樣子三個字,"['下', '次', '送', '綠', '共下', '我', '要', '看', '喬王', '氣瘋', '的', '樣子', '三', '個', '字']"
1151,=我也這麼想,"['=', '我', '也', '這麼', '想']"
1152,？完全執政就能改憲法台獨，又開始提舊金山合約了，日台獨黨綱：你是不是忘了我閉嘴,"['？', '完全', '執政', '就', '能', '改', '憲法', '台獨', '，', '又', '開始', '提', '舊金山', '合約', '了', '，', '日', '台獨', '黨綱', '：', '你', '是', '不是', '忘', '了', '我', '閉嘴']"
1153,"笑死事實上重審就要開天窗了,垃圾塔綠斑，害死台灣輸不起","['笑死', '事實', '上', '重審', '就', '要', '開', '天窗', '了', ',', '垃圾塔', '綠斑', '，', '害死', '台灣', '輸不起']"
1154,"有沒有自己開補習班就可以我只是好奇兼職到底是有多資策會員工又不具公務人員錢夠多的話,可以要求講師可以兼職啊","['有沒有', '自己', '開', '補習班', '就', '可以', '我', '只是', '好奇', '兼職', '到底', '是', '有', '多', '資策會', '員工', '又', '不', '具', '公務人員', '錢', '夠多', '的話', ',', '可以', '要求', '講師', '可以', '兼職', '啊']"
1155,吃屎吧一群小丑吃香菜比停電重要喔???什麼垃圾新聞關我屁事陶本和的新聞比小學生作文,"['吃屎', '吧', '一', '群', '小丑', '吃', '香菜', '比', '停電', '重要', '喔', '?', '?', '?', '什麼', '垃圾', '新聞', '關', '我', '屁事', '陶本和', '的', '新聞', '比', '小學生', '作文']"
1156,現在這搶救33大作戰33的哥哥蔣口條好？他演講就像30馬英九是史上最好的總統台北市非我族類不會贏馬還可以啦，沒比較沒傷害真的越是觀念傳統的越看外33口條沒有比蔣差，只差辯論會蔣戰力很夠,"['現在', '這', '搶救', '33', '大', '作戰', '33', '的', '哥哥', '蔣口條', '好', '？', '他', '演講', '就', '像', '30', '馬英九', '是', '史', '上', '最', '好的', '總統', '台北市', '非', '我', '族類', '不會', '贏', '馬', '還可以', '啦', '，', '沒', '比較', '沒', '傷害', '真的', '越', '是', '觀念', '傳統', '的', '越', '看', '外', '33', '口條', '沒有', '比', '蔣差', '，', '只', '差', '辯論會', '蔣', '戰力', '很', '夠']"
1157,綠色產業鍊老柯說個笑話,"['綠色', '產業', '鍊', '老柯', '說', '個', '笑話']"
1158,愛你,"['愛', '你']"
1159,請笑納這三小題目，根本沒有標準這什麼奇怪的題目扭曲的教育題目有爭議性這題目拿去測試鑑別度應該台女結婚會接受台男沒房？那2也沒錯啊台女怎麼可能嫁26k的男幹管別人錢怎麼花？沒標準答案出單選幹嘛這題哪有標準答案真的假的,"['請', '笑納', '這', '三小', '題目', '，', '根本', '沒有', '標準', '這', '什麼', '奇怪', '的', '題目', '扭曲', '的', '教育', '題目', '有', '爭議性', '這', '題目', '拿去', '測試', '鑑別度', '應該', '台女', '結婚', '會', '接受', '台男', '沒', '房', '？', '那', '2', '也', '沒錯', '啊', '台女', '怎麼', '可能', '嫁', '26', 'k', '的', '男', '幹管', '別人', '錢', '怎麼', '花', '？', '沒', '標準', '答案', '出', '單選', '幹嘛', '這', '題', '哪', '有', '標準', '答案', '真的', '假', '的']"
1160,台灣一堆想打戰的都免疫了塔綠班：不管啦台日友好不然呢?有選擇,"['台灣', '一', '堆', '想', '打戰', '的', '都', '免疫', '了', '塔綠班', '：', '不管', '啦', '台', '日', '友好', '不然', '呢', '?', '有', '選擇']"
1161,丟垃圾還誇張,"['丟', '垃圾', '還', '誇張']"
1162,map羞辱給別人訕笑就像叫別人科長自己寫的，念出來叫羞希望苗這種議員快滾，沒看第二幕第二段直接跳過?大安文山區的市民選的,"['map', '羞辱', '給', '別人', '訕笑', '就', '像', '叫', '別人', '科長', '自己', '寫', '的', '，', '念出來', '叫羞', '希望', '苗', '這', '種', '議員', '快', '滾', '，', '沒', '看', '第二', '幕', '第二', '段', '直接', '跳過', '?', '大安', '文山區', '的', '市民', '選', '的']"
1163,台灣真可悲層級不一樣欸大哥不敢具名的專家沒有專業性老實說,"['台灣', '真', '可悲', '層級', '不', '一樣', '欸', '大哥', '不', '敢', '具名', '的', '專家', '沒有', '專業性', '老實說']"
1164,嘻嘻中介法是其中一個嗎還是這些含糊其辭的話,"['嘻嘻', '中介法', '是', '其中', '一', '個', '嗎', '還', '是', '這些', '含糊', '其', '辭', '的', '話']"
1165,只覺得你們厲害！看起來好像說了很多所以黃國昌支持黃珊珊到底時代最大問題就是要走向中繼續小綠吧,"['只', '覺得', '你們', '厲害', '！', '看起來', '好像', '說', '了', '很多', '所以', '黃國昌', '支持', '黃珊珊', '到底', '時代', '最', '大', '問題', '就', '是', '要', '走向', '中', '繼續', '小綠', '吧']"
1166,大神不是沒來工數這種存在於宇宙的真理偷拍前面的大奶同學阿爽啊,"['大', '神', '不是', '沒', '來', '工數', '這', '種', '存在', '於', '宇宙', '的', '真理', '偷拍', '前面', '的', '大奶', '同學', '阿爽', '啊']"
1167,他最懂遠東軍往中間移動哪有去打不意外日本恐開會因應日本先種個香菇來看看阿瘋狗布丁要按下按鈕了再不一堆五毛不知在氣什麼呵呵失智丁對日說不定真的用核日本爽死了吧，想幹你很久俄國有被害妄想症支那賤畜賤到靈魂深處了,"['他', '最', '懂', '遠東軍', '往', '中間', '移動', '哪', '有', '去', '打', '不', '意外', '日本', '恐開', '會', '因應', '日本', '先', '種', '個', '香菇', '來', '看看', '阿瘋狗', '布丁', '要', '按下', '按鈕', '了', '再', '不', '一', '堆', '五毛', '不', '知', '在', '氣', '什麼', '呵呵', '失', '智丁', '對', '日', '說不定', '真的', '用', '核', '日本', '爽死', '了', '吧', '，', '想', '幹你', '很', '久', '俄國', '有', '被', '害', '妄想症', '支那', '賤', '畜賤', '到', '靈魂', '深處', '了']"
1168,中國烽等你們成功再說吧,"['中國烽', '等', '你們', '成功', '再', '說', '吧']"
1169,可憐必須高調笑死,"['可憐', '必須', '高調', '笑死']"
1170,不抓布萊恩你就是真的網軍挺共產行為就是噁文革批鬥也沒有在笑的想造成含蛋效應寒彈寒蟬叫上去念文章的用意是什麼交通局科長：呵呵啊不是有人說把官員當狗罵小心議員苗女士抓人唸貼文公開批鬥，綠衛兵跟紅衛兵因為負責笑的不是妳批完之不到台灣不曉得文革還在搞口罩戴著誰知道你有沒有笑簡七段說：如果議員對此沒來，,"['不', '抓', '布萊恩', '你', '就是', '真的', '網軍', '挺', '共產', '行為', '就', '是', '噁', '文革', '批鬥', '也', '沒有', '在', '笑', '的', '想', '造成', '含', '蛋', '效應', '寒彈', '寒蟬', '叫', '上去', '念', '文章', '的', '用意', '是', '什麼', '交通局', '科長', '：', '呵呵', '啊', '不是', '有', '人', '說', '把', '官員', '當', '狗', '罵', '小心', '議員', '苗', '女士', '抓', '人', '唸', '貼文', '公開', '批鬥', '，', '綠衛兵', '跟', '紅衛兵', '因為', '負責', '笑', '的', '不是', '妳', '批完', '之', '不', '到', '台灣', '不', '曉得', '文革', '還', '在', '搞', '口罩', '戴', '著', '誰', '知道', '你', '有沒有', '笑', '簡七段', '說', '：', '如果', '議員', '對', '此', '沒', '來', '，']"
1171,馬反正又不是頭次用正義名目第二戶限貸,"['馬反正', '又', '不是', '頭次', '用', '正義', '名目', '第二', '戶', '限貸']"
1172,我對不起國家我也這麼覺得你說得對你有抄襲嗎，沒有的話可以唉呀真是辛苦你了還從垃圾我也這麼認為有畢業不往上申請又沒差我也這樣覺得，拜託不要浪是,"['我', '對不起', '國家', '我', '也', '這麼', '覺得', '你', '說', '得', '對', '你', '有', '抄襲', '嗎', '，', '沒有', '的', '話', '可以', '唉呀', '真是', '辛苦', '你', '了', '還', '從', '垃圾', '我', '也', '這麼', '認為', '有', '畢業', '不', '往', '上', '申請', '又', '沒', '差', '我', '也', '這樣', '覺得', '，', '拜託', '不要', '浪', '是']"
1173,綠師,['綠師']
1174,騙騙死忠的6年過去了,"['騙騙', '死忠', '的', '6', '年', '過去', '了']"
1175,雅虎低學歷塔綠畜狂噓民進党真的非常噁心嗯嗯沒錯，這篇完美示範前面幾樓就然有抄襲學店夜見證民主進步黨變成垃圾綠這種搞法台灣搞爛之後被統白粉看世界，嘻嘻看看三民自、中介法、數位現在進行式以前看人不看黨投.現在一你都能發現了,"['雅虎', '低學', '歷塔', '綠畜', '狂噓', '民進党', '真的', '非常', '噁心', '嗯', '嗯', '沒錯', '，', '這', '篇', '完美', '示範', '前面', '幾樓', '就然', '有', '抄襲', '學店', '夜', '見證', '民主進步黨', '變成', '垃圾綠', '這', '種', '搞法', '台灣', '搞爛', '之後', '被', '統白', '粉看', '世界', '，', '嘻嘻', '看看', '三民', '自', '、', '中介法', '、', '數位', '現在', '進行式', '以前', '看', '人', '不', '看', '黨投', '.', '現在', '一', '你', '都', '能', '發現', '了']"
1176,就算蔣沒選上,"['就算', '蔣', '沒', '選上']"
1177,噁噁,['噁噁']
1178,慘敗再來裝,"['慘敗', '再', '來', '裝']"
1179,這個不會抓拉互相傷害是吧綠能,"['這', '個', '不會', '抓拉', '互相', '傷害', '是', '吧綠', '能']"
1180,我反核四個不同意不反核能,"['我', '反核', '四', '個', '不', '同意', '不', '反', '核能']"
1181,至少會官腔記者可以提問一下小英的襪包來包去還是一坨膿包看到推文說他耶魯，真的假對啊,"['至少', '會', '官腔', '記者', '可以', '提問', '一下', '小英', '的', '襪', '包來包去', '還是', '一', '坨', '膿包', '看到', '推文', '說', '他', '耶魯', '，', '真的', '假對', '啊']"
1182,car?生技業吧民進党，跟國民黨可以手牽汽車趕快開放零關稅吧汽車啊,"['car', '?', '生技業', '吧民', '進党', '，', '跟', '國民黨', '可以', '手', '牽', '汽車', '趕快', '開放', '零關稅', '吧', '汽車', '啊']"
1183,躲在阿中那臉貪相，還要裝無辜笑死,"['躲', '在', '阿中', '那', '臉', '貪相', '，', '還要', '裝', '無辜', '笑死']"
1184,is,['is']
1185,虎落平陽被犬欺難怪蔡英文不特赦，這樣才可悲,"['虎落', '平陽', '被', '犬欺', '難怪', '蔡英文', '不', '特赦', '，', '這樣', '才', '可悲']"
1186,既然有原本,"['既然', '有', '原本']"
1187,會不會開放國綠能你不能說個笑話，貪汙發國難財的還我小智！翻車囉,"['會不會', '開放', '國綠', '能', '你', '不能', '說', '個', '笑話', '，', '貪汙', '發', '國難', '財', '的', '還', '我', '小智', '！', '翻車', '囉']"
1188,滿意度多少啊不是,"['滿意度', '多少', '啊', '不是']"
1189,崩潰,['崩潰']
1190,不沈慧虹跟志堅怎麼突然睡醒熱心民眾出動看好了，共產黨就是這樣處各種爛招出來了林智堅上台時說要拆違建,"['不', '沈慧虹', '跟', '志堅', '怎麼', '突然', '睡醒', '熱心', '民眾', '出動', '看好', '了', '，', '共產黨', '就', '是', '這樣', '處', '各', '種', '爛招', '出來', '了', '林智堅', '上台', '時', '說', '要', '拆', '違建']"
1191,而現任執政黨,"['而', '現任', '執政黨']"
1192,西夏,['西夏']
1193,原來中國鵬好了啦,"['原來', '中國', '鵬好', '了', '啦']"
1194,被強制治療背骨一樓XD還是大仁哥優秀沒有背刺史上最廢副總統，沒有之一一樓,"['被', '強制', '治療', '背骨', '一樓', 'XD', '還是', '大仁哥', '優秀', '沒有', '背刺', '史', '上', '最', '廢', '副總統', '，', '沒有', '之', '一一樓']"
1195,它黨綠快被打得腦中風？抗中保台是誰的口號?哪天不是不能賣，是不能給你賣不懂....,"['它', '黨', '綠', '快', '被', '打', '得', '腦中風', '？', '抗', '中保台', '是', '誰', '的', '口號', '?', '哪', '天', '不是', '不能', '賣', '，', '是', '不能', '給', '你', '賣', '不', '懂', '.', '...']"
1196,現在天天幹妳娘臭B選完希望母豬能辭職現在警界升遷被喬來喬去，1126台幣市民會給大家史上最傲慢的台灣總統選後滾吧垃圾政黨唉,"['現在', '天天', '幹', '妳', '娘臭', 'B', '選完', '希望', '母豬', '能', '辭職', '現在', '警界', '升遷', '被', '喬來喬', '去', '，', '1126', '台幣', '市民會', '給', '大家史', '上', '最', '傲慢', '的', '台灣', '總統', '選後', '滾', '吧', '垃圾', '政黨', '唉']"
1197,都還沒上跟有沒有錢無關,"['都', '還', '沒', '上', '跟', '有沒有', '錢', '無關']"
1198,再像這種標題的新聞，明顯就幸好快下台不然勒,"['再', '像', '這', '種', '標題', '的', '新聞', '，', '明顯', '就', '幸好', '快', '下台', '不然', '勒']"
1199,選後蹭合照還好高有選上,"['選', '後', '蹭', '合照', '還好', '高', '有', '選上']"
1200,吸到很多D他有一堆低能覺青支持啊綠共食糞仔都愛這一味~那區住很多跟苗一樣的同志那一區的議員選舉名單你看之前國民黨內部民調他好像苗躺著上好嗎,"['吸到', '很多', 'D', '他', '有', '一', '堆', '低能', '覺青', '支持', '啊', '綠共', '食糞仔', '都', '愛', '這', '一味', '~', '那', '區', '住', '很多', '跟苗', '一樣', '的', '同志', '那', '一', '區', '的', '議員', '選舉', '名單', '你', '看', '之前', '國民黨', '內部', '民調', '他', '好像', '苗', '躺', '著', '上好', '嗎']"
1201,塔綠班新綠畜還在舔跪黨的恩賜喔,"['塔綠班', '新', '綠畜', '還', '在', '舔跪黨', '的', '恩賜', '喔']"
1202,噁選舉完了,"['噁選舉完', '了']"
1203,難得台大有這石之瑜要被打成紅五毛了吧北約化,"['難得', '台大', '有', '這', '石之瑜', '要', '被', '打成', '紅五毛', '了', '吧', '北約化']"
1204,Fa國王皇后聯合公園國王皇后青蘋果樂園給我你的愛,"['Fa', '國王', '皇后', '聯合公園', '國王', '皇后', '青蘋果', '樂園', '給', '我', '你的', '愛']"
1205,笑了看來民進黨命不該絕韓也只當初真應該投給韓導的,"['笑', '了', '看來', '民進黨', '命', '不', '該', '絕韓', '也', '只', '當初', '真', '應該', '投給', '韓導', '的']"
1206,毛新宇...笑死，天龍人的驕傲蔣市長的市政建設,"['毛新宇', '.', '.', '.', '笑死', '，', '天龍人', '的', '驕傲', '蔣', '市長', '的', '市政', '建設']"
